"gene","log2FoldChange","padj","status"
"ENSG00000100162.14",2.80630818777859,9.78922862741759e-146,"UP"
"ENSG00000011523.13",-1.16942912965865,1.01133498225071e-145,"DOWN"
"ENSG00000175643.8",2.61980973358839,5.3537689730127e-145,"UP"
"ENSG00000188536.12",-4.67807328662909,6.96421952876752e-145,"DOWN"
"ENSG00000162407.8",-1.96170157417455,3.66456348048307e-144,"DOWN"
"ENSG00000152270.8",-3.77205059197288,4.40439892722968e-144,"DOWN"
"ENSG00000135476.11",2.7177359445297,8.56473134774252e-144,"UP"
"ENSG00000101003.9",2.43932029525301,9.63635924382412e-144,"UP"
"ENSG00000163545.8",2.2243253923092,9.90363113853456e-144,"UP"
"ENSG00000160161.9",3.44165682052491,1.53064815788783e-143,"UP"
"ENSG00000169744.12",-2.14762891244783,1.61764213787279e-143,"DOWN"
"ENSG00000077157.21",-2.049789073259,3.77494349324046e-143,"DOWN"
"ENSG00000186205.12",-2.75833122312808,1.65332180680629e-142,"DOWN"
"ENSG00000083782.7",6.07856557540224,3.0807142470383e-142,"UP"
"ENSG00000101280.7",-3.57068656617393,3.33037190766361e-142,"DOWN"
"ENSG00000158571.10",-3.65068987599629,4.17475642547613e-142,"DOWN"
"ENSG00000165124.17",-3.25901637878377,4.95065897192251e-142,"DOWN"
"ENSG00000160957.12",2.76253003125389,1.05700762891481e-141,"UP"
"ENSG00000024526.16",3.25251916379449,4.63238880008461e-141,"UP"
"ENSG00000144031.11",-2.73790653905978,5.8155558692054e-141,"DOWN"
"ENSG00000106462.10",2.30841280054532,8.08954337598001e-141,"UP"
"ENSG00000169241.17",1.90293522199109,1.23891978748932e-140,"UP"
"ENSG00000162733.16",-2.64520716444724,3.00982927961045e-140,"DOWN"
"ENSG00000223774.5",-2.72896383251722,1.17137838974397e-139,"DOWN"
"ENSG00000075914.12",-1.56624749478894,1.33828766910865e-139,"DOWN"
"ENSG00000164283.12",2.97141658598928,6.53440440080407e-139,"UP"
"ENSG00000231246.1",-3.74671395526891,1.06347314254621e-138,"DOWN"
"ENSG00000144908.13",-4.75730465664078,1.76782964775181e-138,"DOWN"
"ENSG00000084674.14",-5.52959570597169,6.89987027798334e-138,"DOWN"
"ENSG00000151468.10",-2.84912907146235,2.88114702404839e-137,"DOWN"
"ENSG00000189367.14",-3.30256948469007,3.21762904997659e-137,"DOWN"
"ENSG00000166947.11",-2.3820596565105,9.03764357549154e-137,"DOWN"
"ENSG00000124493.13",5.32256185298934,1.35682206698229e-136,"UP"
"ENSG00000138316.10",3.13472944209227,1.37357766574329e-136,"UP"
"ENSG00000104147.8",2.36405617534368,1.5617767363018e-136,"UP"
"ENSG00000213005.3",3.30192715314495,1.99049505561412e-136,"UP"
"ENSG00000160877.5",1.39816819814814,2.28217291074864e-136,"UP"
"ENSG00000170369.3",4.90542651268775,5.14421180055495e-136,"UP"
"ENSG00000129173.12",3.28474965549083,5.68022470880496e-136,"UP"
"ENSG00000167676.4",-5.22367941198912,7.88734816277214e-136,"DOWN"
"ENSG00000268714.4",-4.67228326118157,8.29479569015562e-136,"DOWN"
"ENSG00000093009.9",2.93309947664145,1.58436085150741e-135,"UP"
"ENSG00000266964.5",-3.79028523673953,1.63938046255778e-135,"DOWN"
"ENSG00000136383.6",-2.51769920529146,3.18342011046616e-135,"DOWN"
"ENSG00000182782.7",-3.35037984188181,4.22622468246627e-135,"DOWN"
"ENSG00000172156.3",4.12803782104458,8.67767210425086e-135,"UP"
"ENSG00000171320.14",2.69488088108739,1.88462499160183e-134,"UP"
"ENSG00000171596.6",-3.51412599386707,5.92548294191448e-134,"DOWN"
"ENSG00000166819.11",-5.32378702664033,9.50163802971624e-134,"DOWN"
"ENSG00000109686.17",-1.25174293196001,1.11453013781183e-133,"DOWN"
"ENSG00000165269.12",-5.15192829744132,1.54627855448082e-133,"DOWN"
"ENSG00000152492.13",-1.29463948464757,2.87100133886158e-133,"DOWN"
"ENSG00000261742.5",4.59121090701434,7.08913240833467e-133,"UP"
"ENSG00000221857.7",-3.76416271298429,7.93997232375827e-133,"DOWN"
"ENSG00000113648.16",1.03528355144154,1.31395119337785e-132,"UP"
"ENSG00000221866.9",-3.37392444482162,1.47597803959911e-132,"DOWN"
"ENSG00000215483.9",-3.44772139694204,1.68646812536291e-132,"DOWN"
"ENSG00000167588.12",-5.30909462008591,1.91272562729479e-132,"DOWN"
"ENSG00000261039.2",3.75749223232774,2.54354239606623e-132,"UP"
"ENSG00000118804.8",-2.01469673245948,3.80101731194192e-132,"DOWN"
"ENSG00000151726.13",-2.81786376202516,1.08941223150778e-131,"DOWN"
"ENSG00000103495.13",1.44336039258859,2.23676101671345e-131,"UP"
"ENSG00000101115.12",3.06853472245343,3.00573843116859e-131,"UP"
"ENSG00000187824.8",-2.24656794730518,3.02547865860935e-131,"DOWN"
"ENSG00000186466.5",-5.25668736120976,3.92523150489174e-131,"DOWN"
"ENSG00000171914.16",-1.91053544260884,1.67594724058502e-130,"DOWN"
"ENSG00000259916.1",-5.27349383383149,2.23131594266189e-130,"DOWN"
"ENSG00000135917.13",-5.01670032640339,2.54244169870893e-130,"DOWN"
"ENSG00000010319.6",-2.87531242577664,3.99577882902766e-130,"DOWN"
